NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,FECHA
60,24742,1,7,1,3,0,19/11/2019
60,24741,5,6,5,9,0,19/11/2019
60,24740,6,5,1,2,0,19/11/2019
60,24739,2,1,2,2,0,19/11/2019
60,24738,8,1,7,5,8,19/11/2019
60,24737,0,5,3,7,9,18/11/2019
60,24736,3,0,9,9,3,18/11/2019
60,24735,7,5,9,2,9,18/11/2019
60,24734,5,0,3,8,2,18/11/2019
60,24733,5,4,9,6,8,18/11/2019
60,24732,1,9,6,7,6,17/11/2019
60,24731,5,5,3,2,5,17/11/2019
60,24730,2,6,6,3,3,17/11/2019
60,24729,0,1,2,4,6,17/11/2019
60,24728,9,3,6,5,2,17/11/2019
60,24727,9,3,1,7,5,16/11/2019
60,24726,2,4,1,1,6,16/11/2019
60,24725,3,9,3,7,4,16/11/2019
60,24724,0,5,2,1,2,16/11/2019
60,24723,4,9,5,5,6,16/11/2019
60,24722,8,7,2,7,7,15/11/2019
60,24721,2,8,5,9,5,15/11/2019
60,24720,0,4,3,8,8,15/11/2019
60,24719,5,5,5,1,0,15/11/2019
60,24718,6,2,3,6,7,15/11/2019
60,24717,5,3,1,4,4,14/11/2019
60,24716,0,0,1,9,1,14/11/2019
60,24715,5,5,0,5,7,14/11/2019
60,24714,6,2,2,5,9,14/11/2019
60,24713,4,9,3,8,9,14/11/2019
60,24712,1,1,2,1,0,13/11/2019
60,24711,6,9,2,6,6,13/11/2019
60,24710,0,7,4,4,5,13/11/2019
60,24709,4,2,7,5,8,13/11/2019
60,24708,1,9,3,0,4,13/11/2019
60,24707,6,3,9,9,2,12/11/2019
60,24706,4,1,2,1,3,12/11/2019
60,24705,1,5,1,7,3,12/11/2019
60,24704,3,1,5,6,5,12/11/2019
60,24703,3,5,3,5,9,12/11/2019
60,24702,2,4,0,8,7,11/11/2019
60,24701,0,8,9,9,7,11/11/2019
60,24700,8,2,5,5,8,11/11/2019
60,24699,6,7,0,7,7,11/11/2019
60,24698,4,0,1,6,9,11/11/2019
60,24697,0,5,8,6,4,10/11/2019
60,24696,2,5,4,9,2,10/11/2019
60,24695,2,1,1,3,6,10/11/2019
60,24694,1,7,1,2,1,10/11/2019
60,24693,9,2,4,7,5,10/11/2019
60,24692,8,0,6,6,4,09/11/2019
60,24691,1,6,0,2,0,09/11/2019
60,24690,4,3,7,4,5,09/11/2019
60,24689,0,0,8,3,5,09/11/2019
60,24688,7,0,5,3,0,09/11/2019
60,24687,2,7,8,4,9,08/11/2019
60,24686,6,6,0,6,7,08/11/2019
60,24685,9,9,1,4,7,08/11/2019
60,24684,2,8,3,1,2,08/11/2019
60,24683,9,4,0,3,5,08/11/2019
60,24682,5,8,6,6,7,07/11/2019
60,24681,6,6,1,9,5,07/11/2019
60,24680,4,4,6,0,8,07/11/2019
60,24679,9,7,2,9,5,07/11/2019
60,24678,6,6,7,3,7,07/11/2019
60,24677,5,2,6,2,8,06/11/2019
60,24676,9,5,1,2,6,06/11/2019
60,24675,8,2,7,9,3,06/11/2019
60,24674,8,3,6,9,8,06/11/2019
60,24673,0,4,0,8,3,06/11/2019
60,24672,5,1,6,7,6,05/11/2019
60,24671,3,0,7,2,6,05/11/2019
60,24670,5,4,1,6,9,05/11/2019
60,24669,3,1,0,8,0,05/11/2019
60,24668,1,4,5,8,5,05/11/2019
60,24667,0,5,5,6,9,04/11/2019
60,24666,9,5,8,6,0,04/11/2019
60,24665,0,8,8,3,6,04/11/2019
60,24664,5,1,6,3,2,04/11/2019
60,24663,2,5,4,3,0,04/11/2019
60,24662,7,4,5,0,1,03/11/2019
60,24661,1,1,6,1,9,03/11/2019
60,24660,7,0,2,1,0,03/11/2019
